Title,Release Year,Director,MPAA Rating,Duration (min),Description
Star Wars,1977,George Lucas,PG,121,test
The Godfather,1972,Francis Ford Coppola,R,175,test
Citizen Kane,1941,Orson Welles,N/A,119,test
Casablanca,1942,Michael Curtiz,PG,102,test
Raging Bull,1980,Martin Scorsese,R,129,test
Singin' in the Rain,1952,Stanley Donen/Gene Kelly,N/A,103,test
Gone With the Wind,1939,Victor Fleming,G,238,test
Lawrence of Arabia,1962,David Lean,PG,216,tst
Schindler's List,1993,Steven Spielberg,R,195,test
Vertigo,1958,Alfred Hitchcock,PG,128,test
The Wizard of Oz,1939,Victor Fleming,N/A,102,test
City Lights,1931,Charlie Chaplin,N/A,87,test
The Searchers,1956,John Ford,N/A,119,test
Psycho,1960,Alfred Hitchcock,R,109,test
2001: A Space Odyssey,1968,Stanley Kubrick,G,149,test
Sunset Blvd.,1950,Billy Wilder,N/A,110,test
The Graduate,1967,Mike Nichols,N/A,106,test
The General,1926,Buster Keaton,N/A,67,test
On the Waterfront,1954,Elia Kazan,N/A,108,test
It's a Wonderful Life,1946,Frank Capra,PG,130,test
